Appname,Date,Score,Text,text
"Groww Stocks, Mutual Fund, IPO",Unknown,5,best app,best app
"Groww Stocks, Mutual Fund, IPO",Unknown,1,The broker has intentionally kept the closure process offline. Very disgusting to see this,the broker has intentionally kept the closure process offline very disgusting to see this
"Groww Stocks, Mutual Fund, IPO",Unknown,3,PNL report nahi hai like zerodha console profit n loss Konse din kia kiya kese pata chalega I request to grow please PNL report ka dashboard bana dijiyega hamko dushri jagah na jana pade,pnl report nahi hai like zerodha console profit n loss konse din kia kiya kese pata chalega i request to grow please pnl report ka dashboard bana dijiyega hamko dushri jagah na jana pade
"Groww Stocks, Mutual Fund, IPO",Unknown,5,ok,ok
"Groww Stocks, Mutual Fund, IPO",Unknown,5,Nice app for user.,nice app for user
"Groww Stocks, Mutual Fund, IPO",Unknown,5,Excellent,excellent
"Groww Stocks, Mutual Fund, IPO",Unknown,1,The postion does not show in the intraday chart,the postion does not show in the intraday chart
"Groww Stocks, Mutual Fund, IPO",Unknown,5,good,good
"Groww Stocks, Mutual Fund, IPO",Unknown,3,Nice 👍 app,nice app
"Groww Stocks, Mutual Fund, IPO",Unknown,2,It is now very slow software.,it is now very slow software
"Groww Stocks, Mutual Fund, IPO",Unknown,1,very good,very good
"Groww Stocks, Mutual Fund, IPO",Unknown,5,good,good
"Groww Stocks, Mutual Fund, IPO",Unknown,5,Nice,nice
"Groww Stocks, Mutual Fund, IPO",Unknown,3,"I would recommend it provided the data like weekly, monthly, quarterly, half yearly, yearly 1,2,3,5 and 10 each stock and Mutual Fund. It would enable the investor to analyse the performance. For that information Investors depend on other apps like Monkey Control.",i would recommend it provided the data like weekly monthly quarterly half yearly yearly and each stock and mutual fund it would enable the investor to analyse the performance for that information investors depend on other apps like monkey control
"Groww Stocks, Mutual Fund, IPO",Unknown,5,It is very nice app for earning And it is safe for all,it is very nice app for earning and it is safe for all
"Groww Stocks, Mutual Fund, IPO",Unknown,5,nice app,nice app
