Appname,Date,Score,Text,text
Document Scanner - PDF Creator,Unknown,5,"The best app to use for pdf, I have been using it for at least 3 years and it hasn't been a problem in it, no annoying ad popping on the screen no glitches, best app for photo conversion to pdf",the best app to use for pdf i have been using it for at least years and it hasnt been a problem in it no annoying ad popping on the screen no glitches best app for photo conversion to pdf
Document Scanner - PDF Creator,Unknown,1,"ITS SO SLOW, TAKES FOREVER TO SAVE",its so slow takes forever to save
Document Scanner - PDF Creator,Unknown,4,good,good
Document Scanner - PDF Creator,Unknown,5,ok,ok
Document Scanner - PDF Creator,Unknown,5,good,good
Document Scanner - PDF Creator,Unknown,5,good,good
Document Scanner - PDF Creator,Unknown,5,superb work,superb work
Document Scanner - PDF Creator,Unknown,5,nice,nice
Document Scanner - PDF Creator,Unknown,4,"very amazing app , don't even need a Xerox machine to take photo or scan something",very amazing app dont even need a xerox machine to take photo or scan something
Document Scanner - PDF Creator,Unknown,5,GOOD SERVICE 👍,good service
Document Scanner - PDF Creator,Unknown,5,good,good
Document Scanner - PDF Creator,Unknown,3,It should have a highlight and underline option in edit of pdf .,it should have a highlight and underline option in edit of pdf
Document Scanner - PDF Creator,Unknown,5,it's amazing app I love it,its amazing app i love it
Document Scanner - PDF Creator,Unknown,5,good,good
Document Scanner - PDF Creator,Unknown,5,best,best
Document Scanner - PDF Creator,Unknown,5,good,good
Document Scanner - PDF Creator,Unknown,5,Best app,best app
Document Scanner - PDF Creator,Unknown,5,very good,very good
Document Scanner - PDF Creator,Unknown,5,"it's v good, clear pictures",its v good clear pictures
Document Scanner - PDF Creator,Unknown,5,very good,very good
Document Scanner - PDF Creator,Unknown,5,good,good
Document Scanner - PDF Creator,Unknown,5,Most useful App for all kind of Documentation,most useful app for all kind of documentation
Document Scanner - PDF Creator,Unknown,5,ultimate 🥏,ultimate
Document Scanner - PDF Creator,Unknown,5,good 👍👍👍,good
Document Scanner - PDF Creator,Unknown,5,good job,good job
Document Scanner - PDF Creator,Unknown,5,good,good
Document Scanner - PDF Creator,Unknown,1,good,good
Document Scanner - PDF Creator,Unknown,5,good job,good job
Document Scanner - PDF Creator,Unknown,5,Ok,ok
Document Scanner - PDF Creator,Unknown,5,good app,good app
Document Scanner - PDF Creator,Unknown,5,good app,good app
Document Scanner - PDF Creator,Unknown,4,good,good
Document Scanner - PDF Creator,Unknown,5,good,good
Document Scanner - PDF Creator,Unknown,4,Good,good
Document Scanner - PDF Creator,Unknown,5,superb quality,superb quality
Document Scanner - PDF Creator,Unknown,4,best,best
Document Scanner - PDF Creator,Unknown,5,excellent,excellent
Document Scanner - PDF Creator,Unknown,5,very good,very good
Document Scanner - PDF Creator,Unknown,1,good 👍,good
Document Scanner - PDF Creator,Unknown,5,super,super
Document Scanner - PDF Creator,Unknown,5,very good,very good
Document Scanner - PDF Creator,Unknown,4,good,good
Document Scanner - PDF Creator,Unknown,5,super,super
Document Scanner - PDF Creator,Unknown,5,exllent,exllent
Document Scanner - PDF Creator,Unknown,5,ok,ok
Document Scanner - PDF Creator,Unknown,5,very nice,very nice
Document Scanner - PDF Creator,Unknown,5,good,good
Document Scanner - PDF Creator,Unknown,5,good,good
Document Scanner - PDF Creator,Unknown,5,good 👍,good
Document Scanner - PDF Creator,Unknown,5,excellent,excellent
Document Scanner - PDF Creator,Unknown,5,it's very very much useful app,its very very much useful app
Document Scanner - PDF Creator,Unknown,5,excellent performance,excellent performance
Document Scanner - PDF Creator,Unknown,5,nice,nice
Document Scanner - PDF Creator,Unknown,4,very good app,very good app
Document Scanner - PDF Creator,Unknown,4,Good app,good app
Document Scanner - PDF Creator,Unknown,5,best,best
Document Scanner - PDF Creator,Unknown,1,Nice,nice
Document Scanner - PDF Creator,Unknown,5,good 👍,good
